Nr.;BLZ;Institut;Ort;RZ;Organisation;HBCI-Zugang DNS;HBCI- Zugang     IP-Adresse;HBCI-Version;DDV;RDH-1;RDH-2;RDH-3;RDH-4;RDH-5;RDH-6;RDH-7;RDH-8;RDH-9;RDH-10;RAH-7;RAH-9;RAH-10;PIN/TAN-Zugang URL;Version;Datum letzte Änderung;;;;;
940;33020190;UniCredit Bank - HypoVereinsbank AG;Wuppertal;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015;;;;;
941;33040001;Commerzbank;Gevelsberg;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010;;;;;
942;33040001;Commerzbank;Ennepetal;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010;;;;;
943;33040001;Commerzbank;Sprockhövel;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010;;;;;
944;33040001;Commerzbank;Schwelm;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010;;;;;
945;33040001;Commerzbank;Wuppertal;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010;;;;;
946;33050000;Stadtsparkasse Wuppertal ;Wuppertal;Finanz Informatik GmbH & Co. KG;DSGV;banking-rl3.s-fints-pt-rl.de;nicht unterstützt;3.0;ja;;;;;;;;;;;ja;;;https://banking-rl3.s-fints-pt-rl.de/fints30;FinTS V3.0;09.07.2016;;;;;
947;33060592;Sparda-Bank West eG;Wuppertal;Sparda-Datenverarbeitung eG;BVR;;;;;;;;;;;;;;;;;;https://fints.bankingonline.de/fints/FinTs30PinTanHttpGate;FinTS V3.0;26.09.2013;;;;;
948;33070024;Deutsche Bank Privat und Geschäftskunden;Wuppertal;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
949;33070024;Deutsche Bank Privat und Geschäftskunden;Ennepetal;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
950;33070024;Deutsche Bank Privat und Geschäftskunden;Heiligenhaus;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
951;33070024;Deutsche Bank Privat und Geschäftskunden;Mettmann;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
952;33070024;Deutsche Bank Privat und Geschäftskunden;Schwelm;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
953;33070024;Deutsche Bank Privat und Geschäftskunden;Velbert;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
954;33070024;Deutsche Bank Privat und Geschäftskunden;Wülfrath;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
955;33070090;Deutsche Bank;Wuppertal;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
956;33070090;Deutsche Bank;Ennepetal;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
957;33070090;Deutsche Bank;Mettmann;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
958;33070090;Deutsche Bank;Heiligenhaus;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
959;33070090;Deutsche Bank;Velbert;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
960;33070090;Deutsche Bank;Schwelm;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
961;33070090;Deutsche Bank;Wülfrath;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
962;33440035;Commerzbank;Heiligenhaus ;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010;;;;;
963;33440035;Commerzbank;Velbert;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010;;;;;
964;33450000;Sparkasse Hilden-Ratingen-Velbert ;Velbert;Finanz Informatik GmbH & Co. KG;DSGV;banking-rl2.s-fints-pt-rl.de;nicht unterstützt;3.0;ja;;;;;;;;;;;ja;;;https://banking-rl2.s-fints-pt-rl.de/fints30;FinTS V3.0;09.07.2016;;;;;
965;34040049;Commerzbank;Wermelskirchen;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010;;;;;
966;34040049;Commerzbank;Radevormwald;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010;;;;;
967;34040049;Commerzbank;Remscheid;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010;;;;;
968;34040049;Commerzbank;Wipperfürth;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010;;;;;
969;34050000;Sparkasse Remscheid ;Remscheid;Finanz Informatik GmbH & Co. KG;DSGV;banking-rl3.s-fints-pt-rl.de;nicht unterstützt;3.0;ja;;;;;;;;;;;ja;;;https://banking-rl3.s-fints-pt-rl.de/fints30;FinTS V3.0;09.07.2016;;;;;
970;34051350;Sparkasse Radevormwald-Hückeswagen ;Radevormwald-Hückeswagen;Finanz Informatik GmbH & Co. KG;DSGV;banking-rl5.s-fints-pt-rl.de;nicht unterstützt;3.0;ja;;;;;;;;;;;ja;;;https://banking-rl5.s-fints-pt-rl.de/fints30;FinTS V3.0;09.07.2016;;;;;
971;34051570;Stadtsparkasse Wermelskirchen ;Wermelskirchen;Finanz Informatik GmbH & Co. KG;DSGV;banking-rl5.s-fints-pt-rl.de;nicht unterstützt;3.0;ja;;;;;;;;;;;ja;;;https://banking-rl5.s-fints-pt-rl.de/fints30;FinTS V3.0;09.07.2016;;;;;
972;34060094;Volksbank Remscheid-Solingen eG;Remscheid-Solingen;Fiducia & GAD IT AG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;19.08.2017;;;;;
973;34070024;Deutsche Bank Privat und Geschäftskunden;Remscheid;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
974;34070024;Deutsche Bank Privat und Geschäftskunden;Hückeswagen;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
975;34070024;Deutsche Bank Privat und Geschäftskunden;Radevormwald;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
976;34070024;Deutsche Bank Privat und Geschäftskunden;Wermelskirchen;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
977;34070024;Deutsche Bank Privat und Geschäftskunden;Wipperfürth;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
978;34070093;Deutsche Bank;Remscheid;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
979;34070093;Deutsche Bank;Hückeswagen;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
980;34070093;Deutsche Bank;Wermelskirchen;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
981;34070093;Deutsche Bank;Wipperfürth;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
982;34070093;Deutsche Bank;Radevormwald;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
983;34240050;Commerzbank;Langenfeld ;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010;;;;;
984;34240050;Commerzbank;Solingen;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010;;;;;
985;34250000;Stadt-Sparkasse Solingen ;Solingen;Finanz Informatik GmbH & Co. KG;DSGV;banking-rl3.s-fints-pt-rl.de;nicht unterstützt;3.0;ja;;;;;;;;;;;ja;;;https://banking-rl3.s-fints-pt-rl.de/fints30;FinTS V3.0;09.07.2016;;;;;
986;34270024;Deutsche Bank Privat und Geschäftskunden;Solingen;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
987;34270024;Deutsche Bank Privat und Geschäftskunden;Haan;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
988;34270094;Deutsche Bank;Solingen;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
989;34270094;Deutsche Bank;Haan;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
990;35040038;Commerzbank;Duisburg;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010;;;;;
991;35040038;Commerzbank;Moers;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010;;;;;
992;35050000;Sparkasse Duisburg;Duisburg;Finanz Informatik GmbH & Co. KG;DSGV;banking-rl4.s-fints-pt-rl.de;nicht unterstützt;3.0;ja;;;;;;;;;;;ja;;;https://banking-rl4.s-fints-pt-rl.de/fints30;FinTS V3.0;09.07.2016;;;;;
993;35060190;Bank für Kirche und Diakonie eG;Duisburg;Fiducia & GAD IT AG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;22.05.2013;;;;;
994;35060386;Volksbank Rhein-Ruhr eG;Duisburg;Fiducia & GAD IT AG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;22.05.2013;;;;;
995;35070024;Deutsche Bank Privat und Geschäftskunden;Duisburg;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
996;35070024;Deutsche Bank Privat und Geschäftskunden;Dinslaken;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
997;35070024;Deutsche Bank Privat und Geschäftskunden;Kamp-Lintfort;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
998;35070024;Deutsche Bank Privat und Geschäftskunden;Moers;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
999;35070024;Deutsche Bank Privat und Geschäftskunden;Voerde (Niederrhein);eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
1000;35070024;Deutsche Bank Privat und Geschäftskunden;Wesel;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
1001;35070030;Deutsche Bank;Duisburg;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
1002;35070030;Deutsche Bank;Dinslaken;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
1003;35070030;Deutsche Bank;Kamp-Lintfort;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
1004;35070030;Deutsche Bank;Moers;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
1005;35070030;Deutsche Bank;Wesel;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
1006;35070030;Deutsche Bank;Voerde (Niederrhein);eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
1007;35261248;Volksbank Dinslaken eG;Dinslaken;Fiducia & GAD IT AG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;22.05.2013;;;;;
1008;35450000;Sparkasse am Niederrhein;Moers;Finanz Informatik GmbH & Co. KG;DSGV;banking-rl2.s-fints-pt-rl.de;nicht unterstützt;3.0;ja;;;;;;;;;;;ja;;;https://banking-rl2.s-fints-pt-rl.de/fints30;FinTS V3.0;09.07.2016;;;;;
1009;35461106;Volksbank Niederrhein eG;Niederrhein ;Fiducia & GAD IT AG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;22.05.2013;;;;;
1010;35640064;Commerzbank;Dinslaken;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010;;;;;
1011;35640064;Commerzbank;Voerde ;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010;;;;;
1012;35640064;Commerzbank;Xanten;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010;;;;;
1013;35640064;Commerzbank;Wesel ;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010;;;;;
1014;35650000;Niederrheinische Sparkasse RheinLippe;Wesel ;Finanz Informatik GmbH & Co. KG;DSGV;banking-rl2.s-fints-pt-rl.de;nicht unterstützt;3.0;ja;;;;;;;;;;;ja;;;https://banking-rl2.s-fints-pt-rl.de/fints30;FinTS V3.0;24.09.2016;;;;;
1015;35660599;Volksbank Rhein-Lippe eG;Rhein-Lippe;Fiducia & GAD IT AG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;22.05.2013;;;;;
1016;35850000;Stadtsparkasse Emmerich-Rees ;Emmerich-Rees;Finanz Informatik GmbH & Co. KG;DSGV;banking-rl2.s-fints-pt-rl.de;nicht unterstützt;3.0;ja;;;;;;;;;;;ja;;;https://banking-rl2.s-fints-pt-rl.de/fints30;FinTS V3.0;09.07.2016;;;;;
1017;35860245;Raiffeisenbank Emmerich eG;Emmerich;Fiducia & GAD IT AG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;22.05.2013;;;;;
1018;36010043;Postbank;Essen, Ruhr;eigenes Rechenzentrum;BdB;;;;;;;;;;;;;;;;;;https://hbci.postbank.de/banking/hbci.do;FinTS V3.0;10.04.2015;;;;;
1019;36010600;GALLINAT-BANK;Essen, Ruhr;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
1020;36020030;National-Bank;Essen;Bank-Verlag GmbH;BdB;hbciserver.bankverlag.de;nicht unterstützt;3.0;;ja;;ja;;ja;;;;;;;;;https://www.bv-activebanking.de/hbciTunnel/hbciTransfer.jsp;FinTS V3.0;;;;;;
1021;36020186;UniCredit Bank - HypoVereinsbank AG;Essen, Ruhr;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015;;;;;
1022;36020186;UniCredit Bank - HypoVereinsbank AG;Duisburg;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015;;;;;
1023;36033300;Santander Bank;Essen;eigenes Rechenzentrum;BdB;sec.santanderbank.de;193.243.184.115;3.0;;ja;;;;;;;;;;;;;;;26.02.2014;;;;;
1024;36040039;Commerzbank;Gladbeck;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010;;;;;
1025;36040039;Commerzbank;Bottrop;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010;;;;;
1026;36040039;Commerzbank;Essen;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010;;;;;
1027;36040039;Commerzbank;Dorsten;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010;;;;;
1028;36040039;Commerzbank;Herten;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010;;;;;
1029;36040039;Commerzbank;Haltern ;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010;;;;;
1030;36050105;Sparkasse Essen ;Essen;Finanz Informatik GmbH & Co. KG;DSGV;banking-rl4.s-fints-pt-rl.de;nicht unterstützt;3.0;ja;;;;;;;;;;;ja;;;https://banking-rl4.s-fints-pt-rl.de/fints30;FinTS V3.0;09.07.2016;;;;;
1031;36060295;Bank im Bistum Essen eG;Essen;Fiducia & GAD IT AG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;22.05.2013;;;;;
1032;36060488;Geno-Volks-Bank Essen eG.;Essen;Fiducia & GAD IT AG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;22.05.2013;;;;;
1033;36060591;Sparda-Bank West eG;Essen;Sparda-Datenverarbeitung eG;BVR;;;;;;;;;;;;;;;;;;https://fints.bankingonline.de/fints/FinTs30PinTanHttpGate;FinTS V3.0;26.09.2013;;;;;
1034;36070024;Deutsche Bank Privat und Geschäftskunden;Essen;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
1035;36070050;Deutsche Bank;Essen;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
1036;36240045;Commerzbank;Mülheim ;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010;;;;;
1037;36250000;Sparkasse Mülheim a.d. Ruhr ;Mülheim;Finanz Informatik GmbH & Co. KG;DSGV;banking-rl4.s-fints-pt-rl.de;nicht unterstützt;3.0;ja;;;;;;;;;;;ja;;;https://banking-rl4.s-fints-pt-rl.de/fints30;FinTS V3.0;09.07.2016;;;;;
1038;36270024;Deutsche Bank Privat und Geschäftskunden;Mülheim an der Ruhr;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
1039;36270048;Deutsche Bank;Mülheim an der Ruhr;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
1040;36540046;Commerzbank;Oberhausen;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010;;;;;
1041;36550000;Stadtsparkasse Oberhausen ;Oberhausen;Finanz Informatik GmbH & Co. KG;DSGV;banking-rl4.s-fints-pt-rl.de;nicht unterstützt;3.0;ja;;;;;;;;;;;ja;;;https://banking-rl4.s-fints-pt-rl.de/fints30;FinTS V3.0;09.07.2016;;;;;
1042;36570024;Deutsche Bank Privat und Geschäftskunden;Oberhausen;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
1043;36570049;Deutsche Bank;Oberhausen;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
1044;37010050;Postbank;Köln;eigenes Rechenzentrum;BdB;;;;;;;;;;;;;;;;;;https://hbci.postbank.de/banking/hbci.do;FinTS V3.0;10.04.2015;;;;;
1045;37020090;UniCredit Bank - HypoVereinsbank AG;Köln;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015;;;;;
1046;37020090;UniCredit Bank - HypoVereinsbank AG;Bergisch Gladbach;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015;;;;;
1047;37040044;Commerzbank;Bergisch Gladbach;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010;;;;;
1048;37040044;Commerzbank;Dormagen;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010;;;;;
1049;37040044;Commerzbank;Frechen;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010;;;;;
1050;37040044;Commerzbank;Köln;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010;;;;;
1051;37040044;Commerzbank;Troisdorf;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010;;;;;
1052;37040044;Commerzbank;Wesseling;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010;;;;;
1053;37040044;Commerzbank;Leichlingen ;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010;;;;;
1054;37040044;Commerzbank;Brühl;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010;;;;;
1055;37040044;Commerzbank;Bergheim;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010;;;;;
1056;37040044;Commerzbank;Pulheim;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010;;;;;
1057;37050198;Sparkasse KölnBonn ;Köln;Finanz Informatik GmbH & Co. KG;DSGV;banking-rl7.s-fints-pt-rl.de;nicht unterstützt;3.0;ja;;;;;;;;;;;ja;;;https://banking-rl7.s-fints-pt-rl.de/fints30;FinTS V3.0;09.07.2016;;;;;
1058;37050299;Kreissparkasse Köln ;Köln;Finanz Informatik GmbH & Co. KG;DSGV;banking-rl6.s-fints-pt-rl.de;nicht unterstützt;3.0;ja;;;;;;;;;;;ja;;;https://banking-rl6.s-fints-pt-rl.de/fints30;FinTS V3.0;09.07.2016;;;;;
