BLZ;BIC;Institut;HBCI-Version;PIN/TAN-Zugang URL
20030000;HYVEDEMM300;UniCredit Bank - HypoVereinsbank AG;300;https://hbci-01.hypovereinsbank.de/bank/hbci
20030000;HYVEDEMM300;UniCredit Bank - HypoVereinsbank AG;300;https://hbci-01.hypovereinsbank.de/bank/hbci
20030000;HYVEDEMM300;UniCredit Bank - HypoVereinsbank AG;300;https://hbci-01.hypovereinsbank.de/bank/hbci
20030000;HYVEDEMM300;UniCredit Bank - HypoVereinsbank AG;300;https://hbci-01.hypovereinsbank.de/bank/hbci
20030000;HYVEDEMM300;UniCredit Bank - HypoVereinsbank AG;300;https://hbci-01.hypovereinsbank.de/bank/hbci
20030000;HYVEDEMM300;UniCredit Bank - HypoVereinsbank AG;300;https://hbci-01.hypovereinsbank.de/bank/hbci
20030000;HYVEDEMM300;UniCredit Bank - HypoVereinsbank AG;300;https://hbci-01.hypovereinsbank.de/bank/hbci
20030000;HYVEDEMM300;UniCredit Bank - HypoVereinsbank AG;300;https://hbci-01.hypovereinsbank.de/bank/hbci
20030000;HYVEDEMM300;UniCredit Bank - HypoVereinsbank AG;300;https://hbci-01.hypovereinsbank.de/bank/hbci
20030000;HYVEDEMM300;UniCredit Bank - HypoVereinsbank AG;300;https://hbci-01.hypovereinsbank.de/bank/hbci
20030000;HYVEDEMM300;UniCredit Bank - HypoVereinsbank AG;300;https://hbci-01.hypovereinsbank.de/bank/hbci
20030000;HYVEDEMM300;UniCredit Bank - HypoVereinsbank AG;300;https://hbci-01.hypovereinsbank.de/bank/hbci
20030000;HYVEDEMM300;UniCredit Bank - HypoVereinsbank AG;300;https://hbci-01.hypovereinsbank.de/bank/hbci
20030000;HYVEDEMM300;UniCredit Bank - HypoVereinsbank AG;300;https://hbci-01.hypovereinsbank.de/bank/hbci
20030000;HYVEDEMM300;UniCredit Bank - HypoVereinsbank AG;300;https://hbci-01.hypovereinsbank.de/bank/hbci
20030000;HYVEDEMM300;UniCredit Bank - HypoVereinsbank AG;300;https://hbci-01.hypovereinsbank.de/bank/hbci
20030300;CHDBDEHHXXX;Donner & Reuschel Aktiengesellschaft;300;https://hbci-pintan.gad.de/cgi-bin/hbciservlet
20030400;MCRDDEHHXXX;Marcard,Stein & Co GmbH;300;https://online-banking.marcard.de/fints/
20030600;SYBKDE22HAM;Sydbank A/S;300;https://www.bv-activebanking.de/hbciTunnel/hbciTransfer.jsp
20030700;MEFIDEMM200;Merck Finck & Co.;300;https://www.bv-activebanking.de/hbciTunnel/hbciTransfer.jsp
20041111;COBADEHDXXX;comdirect bank AG;;https://fints.comdirect.de/fints
20041133;COBADEHD001;comdirect bank AG;;https://fints.comdirect.de/fints
20041144;COBADEHD044;comdirect bank AG;;https://fints.comdirect.de/fints
20041155;COBADEHD055;comdirect bank AG;;https://fints.comdirect.de/fints
20050550;HASPDEHHXXX;Hamburger Sparkasse;220;https://banking.haspa.de/OnlineBankingFinTS/pintan 
